Date (GMT) | ID    | Username             | Nick                                | Daily XP's | Total XP | Daily Fines Earned ($) | Total Fines Earned ($) | Daily Playing Time (hours) | Total Playing Time (hours) | Daily Driven Distance (km) | Total Driven Distance (km) | Daily Time Spent Chasing (hours) | Total Time Spent Chasing (hours) | Daily Driven Distance Chasing (km) | Total Driven Distance Chasing (km) | Daily Time Spent Speed Trapping (minutes) | Total Time Spent Speed Trapping (minutes) | Daily Roadblocks Placed | Total Roadblocks Placed
-----------+-------+----------------------+-------------------------------------+------------+----------+------------------------+------------------------+----------------------------+----------------------------+----------------------------+----------------------------+----------------------------------+----------------------------------+------------------------------------+------------------------------------+-------------------------------------------+-------------------------------------------+-------------------------+------------------------
2025-03-10 | 39867 | racing101            | SMOKEY [COP]                        |      1,019 |   99,174 |                  6,583 |                467,965 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 45351 | mrconfidence         | [COP] WHITELINE                     |      1,004 |    4,307 |                  4,228 |                 17,859 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 21218 | khaledalshihry       | VM.K3s[COP]                         |        931 |  327,743 |                  2,524 |              1,210,962 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 23390 | ivo_drifta           | •[COP]Yasen•                        |        612 |  295,226 |                  2,143 |                634,427 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 43444 | slyvute              | [PACT]Traxy[COP]                    |        374 |   19,651 |                  1,068 |                 70,212 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 43185 | legenddarius         | [COP]Daniel                         |        337 |    6,462 |                  1,378 |                 29,394 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 43598 | triple1              |                                     |        326 |   24,014 |                  1,152 |                 83,128 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 45835 | raklomore            | rak[COP]                            |        246 |   13,513 |                  2,068 |                 61,009 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 41889 | eymen75              | [COP] Emre Bulut                    |        242 |   19,491 |                  1,362 |                 65,798 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 40242 | astraxan             | [COP]ESCOBAR                        |        240 |   41,163 |                  3,424 |                223,159 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 44109 | zoniix               | [COP] artzs                         |        238 |    7,223 |                    280 |                 21,376 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 44099 | nexusmaniac          | RedﾉNexus [COP]                     |        218 |   17,619 |                     54 |                 47,110 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 18845 | lukey747             | [TC]›Luke™‹[COP]                    |        164 |   74,597 |                    477 |                658,117 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 40408 | deagle762            |                                     |        130 |   98,479 |                    240 |                343,716 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 45440 | buntidondo           | [PACT] A7m [COP]                    |        114 |    8,286 |                    366 |                 16,684 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 26468 | shadowfast           | [6S] Hakou [COP]                    |        109 |  417,476 |                      0 |              1,075,004 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 40263 | subuwu               | [COP]FF14                           |         79 |    6,585 |                    390 |                 22,422 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 43674 | maxpower147          | [COP]MaxPower147                    |         76 |    6,104 |                      0 |                 20,334 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 26188 | rapidfiregaming      | RedﾉBas[COP]                        |         70 |   52,678 |                    700 |                168,580 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-10 | 44045 | sirac.54_            | [PACT]Muffin[COP]                   |         66 |   80,473 |                    217 |                366,263 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
